name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
freeCodeCamp,2014-12-24T17:49:19Z,22858,0,2024-08-25T20:49:31Z,TypeScript,0.99
free-programming-books,2013-10-11T06:50:37Z,6485,0,2024-08-25T20:37:39Z,,0.98
awesome,2014-07-11T13:42:37Z,651,0,2024-08-25T20:57:17Z,,0.96
public-apis,2016-03-20T23:49:42Z,1872,0,2024-08-25T21:04:24Z,Python,0.98
coding-interview-university,2016-06-06T02:34:12Z,411,0,2024-08-25T20:52:34Z,,0.9
build-your-own-x,2018-05-09T12:03:18Z,139,0,2024-08-25T21:06:00Z,,0.73
developer-roadmap,2017-03-15T13:45:52Z,2623,1,2024-08-25T21:05:01Z,TypeScript,0.98
996.ICU,2019-03-26T07:31:14Z,1066,0,2024-08-25T17:43:06Z,,0
system-design-primer,2017-02-26T16:15:28Z,198,0,2024-08-25T20:58:43Z,Python,0.28
react,2013-05-24T16:15:54Z,10694,101,2024-08-25T20:22:29Z,JavaScript,0.95
awesome-python,2014-06-27T21:00:06Z,543,0,2024-08-25T20:51:49Z,Python,0
vue,2013-07-29T03:24:51Z,1135,249,2024-08-25T19:42:43Z,TypeScript,0.96
project-based-learning,2017-04-12T05:07:46Z,182,0,2024-08-25T20:53:50Z,,0.43
awesome-selfhosted,2015-06-01T02:33:17Z,2392,1,2024-08-25T20:40:26Z,,1.0
javascript-algorithms,2018-03-24T07:47:04Z,299,0,2024-08-25T18:35:35Z,JavaScript,0.64
tensorflow,2015-11-07T01:19:20Z,22460,208,2024-08-25T20:32:01Z,C++,0.96
Python,2016-07-16T09:44:01Z,2798,0,2024-08-25T20:55:31Z,Python,0.98
You-Dont-Know-JS,2013-11-16T02:37:24Z,367,0,2024-08-25T20:55:15Z,,0.91
linux,2011-09-04T22:48:12Z,10,0,2024-08-25T20:55:46Z,C,0
CS-Notes,2018-02-13T14:56:24Z,374,0,2024-08-25T16:11:42Z,,0.77
ohmyzsh,2009-08-28T18:15:37Z,3189,0,2024-08-25T20:44:03Z,Shell,0.97
bootstrap,2011-07-29T21:19:00Z,8779,89,2024-08-25T21:02:13Z,JavaScript,0.98
computer-science,2014-05-04T00:18:39Z,267,0,2024-08-25T20:33:59Z,,0.97
AutoGPT,2023-03-16T09:21:07Z,1867,21,2024-08-25T19:52:19Z,Python,0.94
flutter,2015-03-06T22:54:58Z,38659,7,2024-08-25T21:04:46Z,Dart,0.87
vscode,2015-09-03T20:23:38Z,26848,139,2024-08-25T20:58:58Z,TypeScript,0.95
gitignore,2010-11-08T20:17:14Z,1546,0,2024-08-25T19:25:37Z,,0
Python-100-Days,2018-03-01T16:05:52Z,13,0,2024-08-25T16:50:00Z,Python,0.17
the-art-of-command-line,2015-05-20T15:11:03Z,317,0,2024-08-25T20:44:21Z,,0.53
JavaGuide,2018-05-07T13:27:00Z,1044,0,2024-08-25T18:40:01Z,Java,0.94
javascript,2012-11-01T23:13:50Z,804,0,2024-08-25T20:20:04Z,JavaScript,0.93
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,122,0,2024-08-25T21:02:29Z,,0
stable-diffusion-webui,2022-08-22T14:05:26Z,1829,26,2024-08-25T20:42:50Z,Python,0.71
transformers,2018-10-29T13:56:00Z,13178,164,2024-08-25T20:52:51Z,Python,0.94
youtube-dl,2010-10-31T14:35:07Z,1636,341,2024-08-25T20:49:09Z,Python,0.86
awesome-go,2014-07-06T13:42:15Z,3230,0,2024-08-25T21:02:01Z,Go,1.0
fucking-algorithm,2020-02-19T09:01:23Z,233,1,2024-08-25T20:40:45Z,Markdown,0.55
next.js,2016-10-05T23:32:51Z,17981,1000,2024-08-25T20:11:36Z,JavaScript,0.86
go,2014-08-19T04:33:40Z,1,0,2024-08-25T20:03:52Z,Go,0.86
30-seconds-of-code,2017-11-29T17:35:03Z,817,10,2024-08-25T21:04:41Z,JavaScript,1.0
react-native,2015-01-09T18:10:16Z,848,336,2024-08-25T20:21:13Z,C++,0.98
tech-interview-handbook,2016-07-05T05:00:48Z,459,0,2024-08-25T21:05:03Z,TypeScript,0.67
electron,2013-04-12T01:47:36Z,20095,1000,2024-08-25T17:09:44Z,C++,0.96
free-programming-books-zh_CN,2013-11-04T01:59:19Z,282,3,2024-08-25T16:32:10Z,,0
kubernetes,2014-06-06T22:56:04Z,59178,690,2024-08-25T20:53:37Z,Go,0.96
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,117,0,2024-08-25T19:49:57Z,HTML,0
d3,2010-09-27T17:22:42Z,485,194,2024-08-25T19:08:05Z,Shell,1.0
PowerToys,2019-05-01T17:44:02Z,4774,101,2024-08-25T21:06:18Z,C#,0.8
scrcpy,2017-11-21T18:00:27Z,85,39,2024-08-25T20:36:41Z,C,0.59
node,2014-11-26T19:57:11Z,8622,404,2024-08-25T20:57:02Z,JavaScript,0.91
axios,2014-08-18T22:30:27Z,865,82,2024-08-25T21:05:45Z,JavaScript,0.87
create-react-app,2016-07-17T14:55:11Z,1944,83,2024-08-25T19:31:38Z,JavaScript,0.79
three.js,2010-03-23T18:58:01Z,12854,159,2024-08-25T20:08:54Z,JavaScript,0.97
TypeScript,2014-06-17T15:28:39Z,14307,199,2024-08-25T20:36:07Z,TypeScript,0.87
nodebestpractices,2017-09-15T08:33:19Z,765,0,2024-08-25T18:40:35Z,Dockerfile,0.88
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,0,0,2024-08-25T20:17:17Z,Java,0.47
rust,2010-06-16T20:39:03Z,57231,128,2024-08-25T20:59:06Z,Rust,0.82
angular,2014-09-18T16:12:01Z,3609,354,2024-08-25T18:08:01Z,TypeScript,0.95
terminal,2017-08-11T18:38:22Z,3874,117,2024-08-25T20:38:52Z,C++,0.88
hello-algo,2022-11-04T11:08:34Z,839,8,2024-08-25T17:57:40Z,Java,0.96
deno,2018-05-15T01:34:26Z,11163,290,2024-08-25T20:40:34Z,Rust,0.82
material-ui,2014-08-18T19:11:54Z,18803,488,2024-08-25T18:30:43Z,TypeScript,0.91
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,5,15,2024-08-25T21:02:07Z,Batchfile,0.99
ant-design,2015-04-24T15:37:24Z,14133,664,2024-08-25T20:19:42Z,TypeScript,0.96
langchain,2022-10-17T02:58:36Z,11346,539,2024-08-25T20:20:03Z,Jupyter Notebook,0.92
clean-code-javascript,2016-11-25T22:25:41Z,149,0,2024-08-25T20:46:08Z,JavaScript,0.56
HelloGitHub,2016-05-04T06:24:11Z,17,45,2024-08-25T21:02:03Z,Python,0.95
java-design-patterns,2014-08-09T16:45:18Z,1385,0,2024-08-25T18:31:43Z,Java,0.85
godot,2014-01-04T16:05:36Z,33626,57,2024-08-25T20:51:44Z,C++,0.8
puppeteer,2017-05-09T22:16:13Z,4792,428,2024-08-25T20:38:30Z,TypeScript,0.96
vue-element-admin,2017-04-17T03:35:49Z,311,49,2024-08-25T10:24:53Z,Vue,0.66
free-for-dev,2015-03-18T21:06:26Z,2537,0,2024-08-25T20:18:44Z,HTML,0
ollama,2023-06-26T19:39:32Z,1508,87,2024-08-25T20:57:54Z,Go,0.75
papers-we-love,2013-12-15T14:31:41Z,429,0,2024-08-25T21:02:53Z,Shell,0.92
thefuck,2015-04-08T15:08:04Z,482,17,2024-08-25T19:31:22Z,Python,0.65
storybook,2016-03-18T04:23:44Z,10175,1000,2024-08-25T16:30:52Z,TypeScript,0.85
iptv,2018-11-14T22:00:57Z,6314,0,2024-08-25T20:54:02Z,JavaScript,1.0
frp,2015-12-21T15:24:59Z,626,99,2024-08-25T20:22:15Z,Go,0.98
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,478,0,2024-08-25T19:19:44Z,JavaScript,0.82
Awesome-Hacking,2016-03-30T15:47:10Z,33,0,2024-08-25T21:03:30Z,,0
every-programmer-should-know,2017-08-24T13:18:26Z,99,0,2024-08-25T20:36:18Z,,0.41
